num_slices,input_size,prep_size,out_size
1,352,108,4
5001,1760352,540108,20004
10001,3520352,1080108,40004
15001,5280352,1620108,60004
20001,7040352,2160108,80004
25001,8800352,2700108,100004
30001,10560352,3240108,120004
35001,12320352,3780108,140004
40001,14080352,4320108,160004
45001,15840352,4860108,180004
50001,17600352,5400108,200004
55001,19360352,5940108,220004
60001,21120352,6480108,240004
65001,22880352,7020108,260004
70001,24640352,7560108,280004
75001,26400352,8100108,300004
80001,28160352,8640108,320004
85001,29920352,9180108,340004
